Original Identifier,Renamed Identifier
CreateSalesBaseTableRegistrationQuery,Cre10
ToShortDateString,ToS
salesDetailTableRegistrationQuery,sal4
salesBaseTableEditQuery,sal5
CreateTotalAmountEtcUpdateInSalesBaseTableQuery,Cre11
UpdateSalesDetailTableEachStatus,Upd
更新しました,更新し2
CreateSalesBaseTableEditQuery,Cre12
salesDetailTableEditQuery,sal6
salesDetailTableDeleteQuery,sal7
CreateSalesDetailTableEditQuery,Cre13
CreateSalesDetailTableRowDeleteQuery,Cre14
salesBaseTablDeleteQuery,sal8
CreateSalesBaseTableDeleteQuery,Cre15
CreateSalesDetailTableDeleteQuery,Cre16
削除しました,削除し2
明細を作成して下さい,明細を
Focus,Foc
担当者を選択して下さい,担当者
顧客を選択して下さい,顧客を
件名を入力して下さい,件名を
商品を選択して下さい,商品を
数量を入力して下さい,数量を
salesDate,sal9
startDate,sta2
START_DATE,STA2
endDate,end
END_DATE,END
